caption,alt,shortCode,displayUrl,locationName,ownerFullName,locationId,timestamp,predicted,details,title,date,time,location
"🌱 Join Us for the Eco-Accounting Panel Talk! 🌱
Get ready to explore how sustainability is reshaping the accounting world with insights from industry professionals and experts from ACCA!

🎤 Don’t miss this golden opportunity to learn how ethical financial practices can drive long-term impact whether you’re an aspiring accountant or just curious about the future of finance.

📅 Date: 7 May 2025 (Wednesday)
🕒 Time: 1:45 PM – 4:00 PM
🏢 Location: FOE Classroom (CLCR 3045)
💸 Fee: RM5 (Refundable upon attendance)
🍱 Food is provided

✨ What you’ll gain:
✅ Real-world insights from expert panelists
✅ Knowledge on sustainability in finance
✅ Networking opportunities

Slots are limited, so make sure to secure your spot ASAP!","Photo by Cyberjaya Accounting Club (MMU) on May 05, 2025. May be an image of 8 people, poster, magazine and text that says 'DIA UNIVERSITY ACCA Fireside Chat: Sustainable Accounting SUSTAINABLE ACCOUNTING Featuring α guest speaker from ΡωC. Malaysia Date of Event: May 2025 Time: 1:45 p.m. 4:00 p.m. GA Venue: FOE Classroom (CLCR 3045) Organizer: Cyberjaya Accounting Club (CAC), MMU Engage with Experts Explore Ethical Finance Embrace Sustainable Practices CAC CpintppuAezcuvdingCht TM GROUP'.",DJRO30WRRfn,https://scontent-lga3-3.cdninstagram.com/v/t51.2885-15/495722249_18346550209155786_4016399566643970159_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEqn7L2GwuB-clUaDyNV-NyDA52Rp1xNZbJixfr21sFeFnT8KAZsFuyECsHIQy_drq8g8CrJoN4eCAdL4hK-LpX&_nc_ohc=Aw_sTaGrJFEQ7kNvwGYhcsW&_nc_gid=9wL6_g_1Ji4BAUKz3QBaAw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfNVMzyA2hjSrIuti-0OVM67Xpk44OEz6Wo6011b_lva_g&oe=684CB313&_nc_sid=10d13b,,Cyberjaya Accounting Club (MMU),,2025-05-05T10:54:17.000Z,1,- Title: Eco-Accounting Panel Talk!  Date: 7 May 2025- Time: 1:45 PM - 4:00 PM  Location: FOE Classroom (CLCR 3045)  Fee: RM5 (Refundable,Eco,20250507,1:45 PM,FOE Classroom (CLCR 3045) Fee: RM5 (Refundable
"🧘‍♀️ PILATES vs PILOXING 🥊

Which side are you on? Come break a sweat and find out! 💪🔥

⚠️Female-only Event
📅 14th June 2025
⏰ 8.30AM – 12.00PM
📍 FCM Atrium, MMU
💵 RM20 (Members) | RM30 (Non-members)
‼️ Don’t forget to bring your own mat!
📲 Scan the QR code to register now — limited slots available!

#MMU #TechgirlsMMU #PilatesVsPiloxing #WorkoutEvent #FitnessChallenge #BringYourMat #StayActive #MMUEvents #cyberfitness #mmucyberfitnessclub","Photo shared by Cyber Fitness Club (CFC) on May 20, 2025 tagging @techgirls_mmu. May be an image of yoga, poster and text that says 'Incollaborationwith with TM GMMU ECHGIRAS HOMDIAUNIOPESITY RIVAUSINY MEGHGIRLS 10 PILATES VS PILOXING BRING YOUR OWN MAT! 14th June 2025 8.30AM-12.00PN OOPM FCM FCMAtrium Atrium RM20FORMEMBERS MEMBERS RM20 FOR RM30FORNON-MEMBERS ON-MEMBERS RM30 FOR REGISTER N! VA 아겠 ١١١١'.",DJ581dlPL2q,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/500124135_18011750735738711_8890944633814676140_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFH94Fr_38Ery7TJSijhav12Fczl_yqF3Y-OVTW6T67qy9iISLKZ_deQH3fdznmt80&_nc_ohc=zDel4L_CwRQQ7kNvwEy7OPG&_nc_gid=_dJXlkfin3lNt7M79DVZtw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfOz8mcIKLb_TljIdg5WPr3kjk5r68h5Rn2aDoxW2Bq4Pg&oe=684CBCD0&_nc_sid=10d13b,,Cyber Fitness Club (CFC),,2025-05-21T06:25:32.000Z,1,- Title:,:,,,
"📢 Day 3 – June 12, 2025 (Thursday)
🧩 Personalized AI at scale? Yes, please!

Tonight’s session:
🔌 ""Leveraging MCP for LLM Personalisation""
👩‍🏫 Speaker: Dr. Meisin Lee
🧠 AI Scientist at Maybank

Date: 12th June 2025 (Thursday)
Time: 8:00 PM – 10:00 PM (GMT+8)
Platform: Bevy Online

Discover how MCP servers enhance LLMs to tailor AI for individual users — securely and efficiently.
🔗 Lock in your spot: https://forms.gle/XtvnpfHAdnuPiGma9","Photo by Google Developer Groups on Campus MMU on June 04, 2025. May be a graphic of 1 person, poster and text that says 'Day_3 Leveraging MCP For LLM Personalisation Dr Meisin Lee A Scientist at Maybank 12th June 2025 (Thursday) 8:00 PM- 10:00 PM Bevy Online Platform GoogleDeveloperGroups Google Developer Groups nCampus 5-MultimediaUniversity University'.",DKglqlpRK1h,https://instagram.fpnq13-1.fna.fbcdn.net/v/t51.2885-15/503612896_18088618216721803_7152286806054210694_n.webp?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fpnq13-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QEKsv5StIQ1h40IbJ70CMaToKJbiX-AjUqy-Gb-XZQjRv1L-zqphHOavOmnKt6W1MNGi1tpD2V6xWW60SnGpSzf&_nc_ohc=X6GQ3dtM7aQQ7kNvwHxwQBV&_nc_gid=M_0OiHGjB-KE5mZcJLCoyA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfM97iq-_iI1kPWh54_WGHoofn70IkYtXh07oXKB2mx59w&oe=684CAD36&_nc_sid=10d13b,,Google Developer Groups on Campus MMU,,2025-06-05T06:33:28.000Z,1,"- Title: ""Personalized AI at scale? Yes, please!""- Date: 12th June 2025- Time: 8:00 PM – 10:00 PM (GMT+8)- Location: Bevy Online","Personalized AI at scale? Yes, please!",20250612,8:00 PM – 10:00 PM (GMT+8),Bevy Online
"Still wondering how to grow deeper, stronger connections with the people who matter most? 🏡👫💬
Join us this Tuesday where we’re talking Family & Friends! Let’s explore how to build meaningful relationships, show God’s love in our homes, and be a light to those around us. Expect real talk, heartfelt stories, and practical biblical wisdom on navigating friendships, family dynamics, and love that lasts beyond emotions.

Special Guests: Ritchie Tay from SS Gospel Centre
You won’t want to miss this one. Bring a friend (or a family member)! 💖👨‍👩‍👧‍👦

📅 Date: 10th June 2025
🕒 Time: 7.30pm
📍 Location: FAIE (FOE) CLBR 1023","Photo by MMU Christian Society on June 08, 2025. May be an image of one or more people, emu, poster and text that says 'MULTIMEDIA MULTIMEDIAUNIVERSITY DIA UNIVERSITY + MMUCS WIWIL FAMILY AND FRIENDS VENUE: FAIE CLBR 1023 TIME: 7.30pm -10.00pm DATE: 10th June 2025'.",DKpXsoop2-l,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/504112026_18143616343401256_4540151379848914760_n.webp?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGIn6LGqNAoZlkcrpgITBVQJpAG5c0o3XinlTJ1xW46hh1wgh0idAQ_ouB5Umm3hyc&_nc_ohc=cfRRkQ3Zp-IQ7kNvwF5to82&_nc_gid=AcQycEfc3AVVA7Ecpjz7bA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfOyfU9C2nVVL8O5e4Q3TfpHpB-AjM4AmFqwGfkr4Wx0RA&oe=684CA6D7&_nc_sid=10d13b,,MMU Christian Society,,2025-06-08T16:24:34.000Z,1,"- Title: ""Family & Friends""  Date: 10th June 2025  Time: 7.30pm  Location: FAIE (FOE) CLBR 1023","""Family & Friends"" Date: 10th June 2025 Time: 7.30pm Location:",,7.30pm Location: FAIE (FOE) CLBR 1023,FAIE (FOE) CLBR 1023
"🚨 It’s official! 🚨
Introducing Sunway Game Development Club (SGDC)! \(≧▽≦)/

We’re beyond excited to kick off the game dev scene right here at Sunway! 🎮✨

📅 Date: 10 June 2025
🕒 Time: 6:00 PM – 8:00 PM
📍 Venue: iLabs, Sunway University
🍽️ Refreshments provided!
Registration Link: https://lu.ma/wje0qw07

Come hear all about our vision, mission, and the exciting plans ahead!
We’re also thrilled & honored to be joined by our beloved guest speakers from @apugdc and @gdcmmu . ^-^

Whether you’re a hardcore dev, a gamer, or just curious, everyone’s welcome!
Let’s build something epic together at SGDC! ʕ •ᴥ•ʔ

Designed by: @van_ice_09

#SunwayGameDevelopmentClub #SGDC #SunwayCollege #SunwayUniversity #APUGameDevelopmentClub #APUGDC #AsianPasificUniversity #GameDevelopersClubMMU #GDCMMU #MultimediaUniversity #GameDevelopment","Photo shared by Sunway Game Development Club • SGDC on June 02, 2025 tagging @van_ice_09, @gdcmmu, and @apugdc. May be a video game screenshot of poster and text that says 'GAME ON SUNWAY GAME DEVELOPMENT CLUB GRAND LAUNCH CLUB INTRODUCTION INSIGHT-SHARING INSIGHT- SESSIONS UPCOMING EVENTS NETWORKING REFRESHMENTS 10TH JUNE 2025. TUESDAY : 8:00PM ILABS, SUNWAY UNIVERSITY GUEST SPEAKERS: APUGDC POSAREDEVELOPHENTOUIM APU GAME DEVELOPMENT CLUB GDC DEUEL DEUEL EVELOPERS OPERS GAME MMu 6AME DEVELOPERS CLUB'.",DKa_bJHB1dW,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/503328570_17848506291481646_2152144742718636981_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QELygYyqTWjhYqwjbLPdmcEk5qbwI-9ZJrHcvJ7TTARsS9YOJLlupyP1a5zsLfda5luPbkt2T_cWMJt9hi1GQ-f&_nc_ohc=2a8DfmQWnE0Q7kNvwFE79oY&_nc_gid=YrrvWh3ed-O3qwmP6KIWuA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfMJ6LgAXR0Afv-E9UpaPIp-4gj97FUKyY5KyKSuKHmTXw&oe=684CC810&_nc_sid=10d13b,,Sunway Game Development Club • SGDC,,2025-06-03T02:23:06.000Z,1,- Title: Introducing Sunway Game Development Club (SGDC)! ()/ We’re beyond excited to kick off the game dev scene right here at Sunway!  Date: 10 June 2025  Time:,Introducing Sunway Game Development Club (SGDC)! ()/ We’re beyond excited,,:,
"BLOCK is back, baby!! 😱🤯 And it’s bringing the same chaos that we all know and love — skits, improvs, games, and glorious nonsense! 

TAMU members only, so scan that QR (or go to our linktree in our bio) to RSVP, dress comfy, and brace yourself for a night of unfiltered fun (and maybe a little accidental spotlight). Limited limited seats so act fast 🫨

📣DETAILS📣
Date : 13th May 2025
Time : 8PM-12AM
Venue : CLBR1022 @ FAIE Building

DM for further enquiries!","Photo by Theatre Arts of Multimedia University on May 08, 2025. May be pop art of 1 person, poster, magazine and text that says '13 MAY 2025 B 8PM- 12AM 8PM-12AM MEMBERS @CLBR1022 ONLY!!! 一 _ now now now RSVP now now now'.",DJalywESTED,https://instagram.fbeg8-1.fna.fbcdn.net/v/t51.2885-15/496232008_18495452998023761_3677247265286958920_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fbeg8-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QEOyfE1uo0FdUnxAbZT5vrLprOPywQANXX9zQZFicoCEWhygx6SOcL1ahelcGkgx8w&_nc_ohc=GfE29m46pZ4Q7kNvwHlXt8D&_nc_gid=oosaTL6Q5elNsmcltVHatw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfOKDkWIkYiomrttoCB_rbbJl-iHjCTKDDe4WdvhyMSFcQ&oe=684CC218&_nc_sid=10d13b,,Theatre Arts of Multimedia University,,2025-05-09T02:07:44.000Z,1,"- Title: Block is back, baby!! - Date: 13th May 2025- Time: 8PM-12AM- Location: CLBR1022 @ FAIE Building","Block is back, baby!!",20250513,8PM,CLBR1022 @ FAIE Building
"🔥 Speaker Reveal! 🔥 Get ready for a Real Talk with Chin Ren Yi, CEO & Co-Founder of myBurgerLab 🍔

🗓️ Date: 11 June 2025 🕙 Time: 10.00 AM – 1.00 PM 📍 Venue: EDC InnoLab, FCI first floor

✅ Earn Cadetship points
✅Earn entrepreneurial knowledge
✅Refreshments for all participants
✅Win lucky draw prizes
✅Get exemption letter Don’t miss the man behind the burgers! 🍔💥

Brought to you by Students’ Academic and Education Division (SAED)

#AIMS2025 #SAED #BusinessTalk #Entrepreneurship #Studententrepreneurs #Futureleaders","Photo shared by ScholarSpeaks on June 09, 2025 tagging @edc_mmu, and @srcmmu_cyber. May be a graphic of 1 person, card, poster, magazine and text that says 'OMMU MULTIMEDIA UNIV MULTIMEDIAUNIVERSITY UNIVERSITY ER SITY SRC AIMS AIMS ACADEMIC INNOVATION MAST MASTERY SPOTLIGHT ""Real Talk with Mr. Chin Ren Yi The Entrepreneur Behind the Burgers"" Date 11th June 2025 Time 10.00 α.. -1.00 p.m. Location EDC, INNOLAB MMU CYBERJAYA my myBurgerLab Burgerd 4AA NWWW.EIEINTOHAPINESS ጥባ BITEINTO BITEINTOHAPPINESS HAPPINESS Chin Ren ChinRenYi Yi CEO and Co-Founder of myBurgerLab eCadet CERTIFIED Ideation 1 POINT ¡Cadet CERTIFIED POINT TM GROUP'.",DKrGQ3TTcTw,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/504472625_17853436380457948_1472257990948205268_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFYvUmqowyKE_GQ7a84QioRTnyxWoEtZnXMfsGr68IexFi3bFAYiPF1jyr4l71jKdR3VR0f9zZ0oaNmsLPSwtdI&_nc_ohc=XRiQEjJ7aRAQ7kNvwHwygzp&_nc_gid=2OfWFS7oLg8U2DM7JD2-8w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfMihE4xo6Cu7JCrvj-6LxhwYdIgYX4rvaXcoHdROvS8Gw&oe=684C9C84&_nc_sid=10d13b,,ScholarSpeaks,,2025-06-09T08:30:43.000Z,1,"- Title: Speaker Reveal!  Get ready for a Real Talk with Chin Ren Yi, CEO & Co-Founder of myBurgerLab- Date: 11 June 2025- Time: 10.00 AM – 1.00 PM",Speaker Reveal! Get ready for a Real Talk with Chin,20250611,10.00 AM – 1.00 PM,
"こんにちは、皆さん！

Hello everyone!

JCS is now recruiting for our next batch of High Committee members!
Looking to gain new experiences, meet amazing people, and bring Japanese culture to life on campus?
This is your chance to be part of the team!

Please scan the QR code above to register for an interview.

Application Information:
Date: 28 & 29 April 2025
Time: 7:00 PM – 10:00/11:00 PM
Venue: CLBR1023
Mode: Physical

We hope to see you guys soon 🌸","Photo by Japanese Cultural Society MMU on April 26, 2025. May be a graphic of poster, magazine and text that says 'JCS H COM RECRUITMENT 28-29 28 29 APRIL 2025 08 P- 10 OPEN Positions Secretary Logistics APPLY NOW Treasury Photography Events Public PublicRelationsMultimedia PublicRelations Relations Multimedia'.",DI736JWTLfn,https://scontent-lga3-3.cdninstagram.com/v/t51.29350-15/493890862_671388605627828_5914160007907441079_n.heic?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QEHv7YWFAiYjoVf0Ckx4q3-a88DKVx6ubEWLIZr1VWuWMjDzMth3KJWxrcVyvhJf1Q&_nc_ohc=FMK1pgS11dcQ7kNvwEfbeLe&_nc_gid=2Ao7OhqdUKv4xQX_JuSt_w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfMJNE3SyUFbtStdrVLiqMhvm-b3ld_RTGdcjj9W0kGS_A&oe=684CBCF9&_nc_sid=10d13b,,Japanese Cultural Society MMU,,2025-04-27T03:49:34.000Z,1,- Date: 28 & 29 April 2025- Time: 7:00 PM – 10:00/11:00 PM- Location: CLBR1023,,20250428,7:00 PM – 10:00/11:00 PM,CLBR1023
"🌸 こんにちは! 🌸 ( ^-^)ノ∠※。.:*:・'°☆

Calling all arts and crafts lovers! Are you in for an evening of fun traditional Japanese activities?

JCS invites you to:
*_☆ Saku Saku Atorie / サクサクアトリエ (^з^)-☆_*

*Date:* 22nd May 2025

*Venue:* Learning Point MMU Cyberjaya

*Time:* 8 pm - 10 pm

Presenting these DIY activities :
👻 *Teru Teru Bozu*
🎏 *Koinobori*
🔖 *Omamori customization*

Bring along your friends to join in on the exciting crafting ! See you there!
 (ゝω・´★) 🎉🎏

#teruterubozu #koinobori #omamori #artandcraft","Photo by Japanese Cultural Society MMU on May 13, 2025. May be an illustration of ‎fish, poster and ‎text that says '‎Teru Teru Bozu O Koinobori م X لى X ま も م Omamori Customization SAKU AK ATORIE サカサクアトリエ 22ND MAY 22NDMAY2025 2025 TIME: TIME:8.00 IME:8.00P.M.10.00P.M 8.00 P.M -10.00 P.M VENUE:LEARNINGPOINT VENUE LEARNING POINT MM CYBERJAYA‎'‎‎.",DJntwVQz5oX,https://instagram.fkul4-3.fna.fbcdn.net/v/t51.2885-15/497322768_18251045716304824_9215226471392676331_n.webp?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fkul4-3.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QH48rCMigSNdC4r094msFVgb33nTxeaJBvosJuNvCaegZeXQaTnvtgg81Rrf7pVKwc&_nc_ohc=KN_wj8OoC98Q7kNvwFBs_97&_nc_gid=suJsObbIdogTK55VeWsAzQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfM39Qfau4z68S4a1U7SW24LBU6p8lh1ZlAZggigIyM5Kg&oe=684CCF7B&_nc_sid=10d13b,,Japanese Cultural Society MMU,,2025-05-14T04:27:26.000Z,1,- Title: 'Arts and Crafts'- Date: 22 May 2025- Time: 8 - 10 pm- Location: Learning Point MMU Cyberjaya,'Arts and Crafts',20250522,8,Learning Point MMU Cyberjaya
"Quack your way to our booth!
MMU CBC is splashing into CSRW this 14 & 15 April (Mon & Tues), right in front of MPH (CLC 24) from 10AM – 3PM!
Join the flock 🦆, smash your semester 🏸, and let’s make badminton your new obsession!

Don’t duck out — see you there! 💥✨","Photo by MMU Cyberjaya Badminton Club on April 13, 2025. May be a doodle of text that says '' MULTIMEDIA MULTIMEDIAUNIVERSITY MI UNIVERSITY CSRW Clubs&SoclatiesRegistrationWeok Clubs Societies Registration Week M MMU CBC DATE:14&15APRIL2025 DATE:14& DATE: 15APRI12025 2025 15 APRIL TιME:10:00-3:00PM TIME: 10:00 TIME:10:00 AM 3:00 PM VENUE:INFRONTOF VENUE: INFRONTOF MPH TM GROUP'.",DIZFLmZPguQ,https://scontent-lga3-3.cdninstagram.com/v/t51.2885-15/491423679_18049749668362002_1791064950595452708_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QFhYwhO23UZ6jIlfOpw7KWv_frq8EOqm2T7yzaK0oiwymj4NdWXav5r-KORXdUG1xI&_nc_ohc=RpIH0NoAOWsQ7kNvwHPaHe4&_nc_gid=r-02_aoQXrXg60IgG2YrIg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfMIqk8ZF4yBVEV0H83GLneNLmHgq6DRaOxGuWWnNbOZYQ&oe=684CAACC&_nc_sid=10d13b,,MMU Cyberjaya Badminton Club,,2025-04-13T15:32:08.000Z,1,"- Title: Quack your way to our booth! MMU CBC is splashing into CSRW this 14 & 15 April (Mon & Tues), right in front of MPH (CLC 24) from 10AM – 3",Quack your way to our booth! MMU CBC is splashing,,10AM – 3,
"[10S FRIENDLY MATCH]

Get ready for the clash! Catch all the action—Rugby game kicks off at 3:45pm ! Don’t miss it!

RUN | BLEED | LIVE

#mmuhornbillsreds #mmucyberjaya","Photo by MMU HORNBILLS REDS RUGBY CLUB on May 09, 2025. May be an image of 3 people, people playing football, poster, sports equipment and text that says 'VULTIMEDIALNIVERST UNIVER TY VULTIMED HORNBILLS MATCH DAY иpowa が LIVE |BLCE | BLEED RUN TM GROUP'.",DJdnxkIxCnS,https://instagram.fdad1-3.fna.fbcdn.net/v/t51.2885-15/496391868_18472544881068826_7338478485482329171_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fdad1-3.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QFHqP4OHyD2Wp8D0YZwAGAOAlS5zy0a45IC69tCaeNc-ukyJrDlucRTwyoN4hDGhMw&_nc_ohc=mmu8RnisMUoQ7kNvwGj8BBV&_nc_gid=cWARWY2CAu5kXF_P8ymvjA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfNYviu08-K_9tdg2o5FYdDxvKAXSlePPk2ACDB4u9kTOg&oe=684CA7A0&_nc_sid=10d13b,,MMU HORNBILLS REDS RUGBY CLUB,,2025-05-10T06:22:46.000Z,1,- Title: [10S FRIENDLY MATCH] Get ready for the clash! Catch all the action—Rugby game kicks off at 3:45pm ! Don’t miss it! #mmuhornbillsreds,[10S FRIENDLY MATCH] Get ready for the clash! Catch all,,,
"🚀✨ Ever wondered what Quantum Computing is all about?
From climate modeling to cryptography, it’s not science fiction, it’s the superpower of future tech! ⚛️💡

🌟 Here’s what you’ll discover:
✅ What makes quantum computers different from classical ones
✅ The magic of qubits, superposition & entanglement
✅ Why quantum computing matters for the future
✅ Real-world breakthroughs by IBM and others
✅ How it’s shaping fields like AI, medicine, and cybersecurity

Step into the quantum realm, it’s more fascinating (and real) than you think! 🔮

💬 Found this cool? Like & Share with your fellow techies!
🔔 Don’t forget to follow IEEE MMU SB for more future-ready science and tech content every month!

#QuantumComputing #IBMQuantum #TechInnovation #FutureOfComputing #Qubits #Superposition #Entanglement #QuantumMechanics #STEMEducation #ScienceSimplified #NextGenTech","Photo by IEEE MMU SB on June 07, 2025. May be an image of poster, magazine and text that says 'IEEE MRSTUDEMP ANSH Quantum Computing The Superpower of Future Tech!'.",DKoTrYYxvj6,https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/505120560_18310426144240401_592437127256284948_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHs3os2O2DJ9jn0SC9x5aeiNDZ95XXrmHGcafxPSRJBxRu7zIiXK_or0VdurVaFpqk&_nc_ohc=8nlSrrH8IQwQ7kNvwHQj-qB&_nc_gid=LxgAwR6uSGTZBA14slmJJA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfNRlPbZJ6QaWeNdZYyruo0qkF9eK2iEIkhi1uj47eemvQ&oe=684CA02E&_nc_sid=10d13b,,IEEE MMU SB,,2025-06-08T06:30:12.000Z,1,"- Title: ""Quantum Computing: From Climate Modeling to Cryptography, it's not science fiction, it's the superpower of future tech!""- Date: - Time: - Location: -","Quantum Computing: From Climate Modeling to Cryptography, it's not science",,,
"🌟 Ready to stand out?

Join us for an interactive workshop, where you will discover your *personal strengths, identity and values* and how to present them effectively in both *professional and everyday settings!* 💼

🗓️ Date: 11 June 2025
🕚 Time: 11:00 am – 1:00 pm
📍 Venue: AGMO SPACE, FCM, MMU Cyberjaya

✨ What to expect:
- Icebreaking activities
- Personal Branding insights
- Personal Branding workshop (Personal assessment papers provided)
- Reflection session

💡 Personal branding is marketing yourself as a unique value proposition. Your identity is your brand, and your reputation is your business. ✨

✅ Exemption letters & e-certificates provided!

Let’s build your brand, see you there!

Link to form:
https://forms.office.com/r/VRNKZCMxL8","Photo shared by IEEE MMU SB on June 01, 2025 tagging @kpmg_mmuambassadors. May be a graphic of 2 people, poster, magazine and text that says '""MMU"" MULTIMEDIA UNIVERSITY KPMG ' AU ΘΤΕΕΕ MMU IMUSTUDENTBRANCH TUDENT BRANCH You are your own brand, market your value and reputation! PERSONAL BRANDING Workshop Unsure how to carry yourself professionally? Discover your strengths and brand yourself with confidence! MR. BAKTIAR HASNAN Centre for Alumni, MMU 11 June 2025 11.00 11.00am-1.00p am 1.00 pm AGMOSPACE AGMO SPACE Faculty Creative Multimedia (FCM), MMU Cyberjaya. Exemption letter and Eenpfilteteteeeetele -certificates be provided. KUMPULAN TM'.",DKYX1I_zs3j,https://instagram.fpia1-1.fna.fbcdn.net/v/t51.2885-15/503400926_18309690271240401_463404894492086661_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fpia1-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHUxbDTXflj4jFRO6PBiLros8goILIY328Wgq20uvrT6amiroemN8KBW6b6RH81KPg&_nc_ohc=6qSM_yXCBmcQ7kNvwFkpQSG&_nc_gid=cTO7UX6LDlJv2QBM3DsCpw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfPEVt3ts2lpBn7xbVJf0wCS59POkPqCzvgPTiUxwgF7Rg&oe=684CB9D7&_nc_sid=10d13b,,IEEE MMU SB,,2025-06-02T01:58:38.000Z,1,"- Title: Personal Branding Workshop  Date: 11 June 2025  Time: 11:00 am – 1:00 pm  Venue: AGMO SPACE, FCM, MMU Cyberjaya",Personal Branding Workshop Date: 11 June 2025 Time: 11:00 am,,"11:00 am – 1:00 pm Venue: AGMO SPACE, FCM, MMU Cyberjaya","AGMO SPACE, FCM, MMU Cyberjaya"
"Welcome to the MMU Archery Club. It is fun, challenging, calming and satisfying when you get your first bullseye! What are you waiting for? Put your name in the registration form!",,B_TsAlRjjYv,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/94673326_2726832637603525_6445305717184859538_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QE7Bxf_Wy9bgPhDK1XBQshCnPUQPECIDPzUY1Ze-y9x5BjR6vXiZalC2ZqoDmoS2VO4m95Z1NAYkLETm7Cz9dft&_nc_ohc=XXUmvU4ngZcQ7kNvwG7hJDN&_nc_gid=vG0b9p9gNJz2DeWkeKtO6A&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfMvpkO84c2HW0IYowubnXzrSn74MgCISM9DbTmQrOE6rw&oe=684CD3D2&_nc_sid=10d13b,,MMU Cyberjaya 🇲🇾 Archery Club,,2020-04-23T03:11:10.000Z,1,- Title: 'MMU Archery Club' - Date: '2019-02-23'- Time: '2019-02-23'- Location: 'MMU','MMU Archery Club',20190609,'2019,'MMU'
