caption,is_event
"✨High Committee of BYIC MMU Cyberjaya 2024/2025✨

Hi BYIC members! 👋
Here is the latest lineup of your BOD. We are here to serve and work with you. Your participation and dedication to the club is greatly appreciated! 🤜🤛

Here is to a productive year ahead. 💪",0
"Selamat Hari Raya !🌙✨May your raya be as sweet as dodol and as bright as pelita!

#Eidmubarak #cmcmmu #fcmmmu",0
"Hold up ✋this isn’t just for u to see and scroll away just think about the possibilities that cmc 2025 could bring to the MMU. 

Here’s what our fellow creatives had to say ⬆️ 

#cmcreconnect 
#sneakpeak 
#cmcmmucyber",1
"Exploring MICPA X CA ANZ: A closer look at the experience! 🎬✨

#CAC #MMUCyberjaya #CyberjayaAccountingClub #StewardshipTowardsExcellence #CAANZMY",0
"Join a community that supports you, brings people together, and sparks creativity through fun activities.

Sign up now and be part of something amazing 👾💥!
#cmcmmu #fcmmmu #creativemultimediaclub",0
"📢 Join the Cyberjaya Accounting Club this CSRW– Where Numbers Meet Opportunities! 💼📊

Are you passionate about accounting, finance, or just want to build valuable skills and connections? Whether you’re a future accountant or just curious about what the world of accounting offers, we’ve got a place for you!

🔹 Networking with professionals
🔹 Workshops & industry talks
🔹 Competitions, events & club activities
🔹 Leadership & personal growth opportunities

💥 No experience needed – just bring your enthusiasm!
Become part of a dynamic community that supports, inspires, and grows together.

👉 Sign up now and take the first step toward something big!",0
"Swing by Booth 12 @ Plaza Central this 14–15 April, 9AM–6PM and discover what Creative Multimedia Club (CMC) is all about!

Join Creative Multimedia Club (CMC) and enjoy:

1. Hands-on design workshops
2. Leadership skill glow-up
3. Meet your fellow creative besties
4. Get your work seen through our platform

Come vibe with us😾🤘🏻tap on the link in our bio for member registration🔗",1
"Calling all potential sponsors!

Join us in supporting Tech Career Days (TCD) 2025, the annual flagship career event hosted by IT Society MMU Cyberjaya. This year, we’re expecting hundreds of students from universities across Malaysia to participate in tech talks, workshops, quizzes, networking sessions, and on-the-spot interviews with leading companies.

TCD 2025 is designed to bridge the gap between students and the tech industry, creating opportunities for recruitment, knowledge sharing, and brand exposure.

We’re proud to host the event right in the heart of MMU Cyberjaya, where innovation meets opportunity.

Tech Career Days 2025 offers a variety of sponsorship packages, and your support will help shape the future of tech talent in Malaysia.

Let’s partner for success!

For more information on how your organization can sponsor TCD 2025, reach out to us at: techcareerdays@gmail.com

Together, let’s make Tech Career Days 2025 an unforgettable experience for students and recruiters alike!

#TCD2025 #TechCareerDays #SponsorshipOpportunity #FutureTechTalent #MMUCyberjaya #UniversityIndustryLink #CareerFair",0
"Want to stand out in the job market? Unsure how to craft the perfect CV?📄✨ Join our CV Workshop and learn how to create a professional, well-structured CV that grabs recruiters' attention. This workshop will be conducted in collaboration with BDO Malaysia, where industry professionals will share expert insights on CV writing, what employers look for and how to make your application stand out.

What’s in Store? 🌟 

📝 Understanding CV Components
❌ Dos & Don'ts of CV Writing
🔍 Live CV Reviews

📆 Date: 9 April 2025 (Wednesday)
🕠 Time: 3:00 PM – 5:00 PM
💻 Venue: Microsoft Teams (Online)
🎤 Speakers: Industry professionals from BDO
💵 Participation Fee: FREE

💡 Bonus: The Top 3 Best CVs will receive exclusive rewards! 🏆

Don’t miss this opportunity to refine your CV and boost your career prospects. Register now and take the first step toward your dream job! 🚀",1
"Dive into Imagination for Creative Entertainment (D.I.C.E) focuses on Tabletop Games, both Roleplay Games and Board Games.

Some of our famous systems are Dungeons & Dragons, PokeRole, LANCER.

For boardgames we have a collection including Exploding Kittens, Unfathomable, Betrayal at The House on the Hill, etc. We provide Board Game Event services to MMU clubs and societies. 

We host a myriad of interests and are happy to welcome you. 

#mmucyberjaya #goforit",0
"✨ Thank You, EY! ✨

A huge thank you to Ernst & Young (EY) for hosting us during an incredible industrial visit on 24th January 2025! 🏢💼

We truly appreciated the opportunity to explore EY’s dynamic work environment, gain insights into the industry, and learn from professionals who are shaping the future of accounting and finance.

Your warm hospitality and valuable sharing have inspired us and broadened our perspective on the real-world applications of our studies. We’re grateful for this unforgettable experience!

Here’s to more learning, growth, and meaningful connections ahead. 💛

#CAC #MMUCyberjaya #CyberjayaAccountingClub #StewardshipTowardsExcellence #EYMalaysia",0
"Earlier during the semester break, we announced ⁣⁣
𝐅𝐎𝐑𝐆𝐄 𝐌𝐄 𝟐𝟎𝟐𝟓⁣⁣
A character design and story writing competition! ⁣⁣⁣⁣
This year's theme is ⁣⁣
𝐃𝐈𝐒𝐓𝐎𝐑𝐓𝐄𝐃 𝐕𝐀𝐋𝐔𝐄𝐒⁣⁣
⁣⁣
⁣⁣-----------------------------------------------------------⁣⁣
The judges have evaluated each submission by a scoring rubrics consisting of: ⁣⁣
> Visual Representation⁣⁣
> Background/Story⁣⁣
> Design Cohesion⁣⁣
> Creativity/Originality⁣⁣
> Theme⁣⁣
⁣⁣
Congratulations to: ⁣⁣
⁣⁣⁣⁣
𝐅𝐎𝐑𝐆𝐄 𝐌𝐄 𝐂𝐎𝐌𝐏𝐄𝐓𝐈𝐓𝐈𝐎𝐍 𝐖𝐈𝐍𝐍𝐄𝐑𝐒⁣⁣⁣
🥇 1st Place, RM75 : RORIK VHALIS by Qirana Qassandra⁣⁣⁣⁣
🥈 2nd Place, RM50 : ALEPH-0 by Nurul Iman⁣⁣⁣⁣
🥉 3rd Place, RM25 : LEGOLIN by Putri Irdina⁣⁣⁣⁣
⁣⁣⁣⁣
-----------------------------------------------------------⁣⁣
Additionally, the judges have chosen their favourites. ⁣⁣
Allow us to announce the recipients of:⁣⁣
⁣⁣⁣⁣
𝐉𝐔𝐃𝐆𝐄'𝐒 𝐂𝐇𝐎𝐈𝐂𝐄 𝐀𝐖𝐀𝐑𝐃𝐒⁣⁣⁣
🎨 Best Artwork: RORIK VHALIS by Qirana Qassandra⁣⁣⁣⁣
📜 Best Storyline: RORIK VHALIS by Qirana Qassandra⁣⁣⁣⁣
⁣⁣⁣⁣
-----------------------------------------------------------⁣⁣
Let's not forget, the community has voted for their favourites. ⁣⁣
Congratulations to the recipients of:⁣⁣
⁣⁣
𝐂𝐎𝐌𝐌𝐔𝐍𝐈𝐓𝐘 𝐂𝐇𝐎𝐈𝐂𝐄 𝐀𝐖𝐀𝐑𝐃𝐒⁣⁣⁣
🎨 Best Artwork: RORIK VHALIS by Qirana Qassandra⁣⁣⁣⁣
📜 Best Storyline: LEGOLIN by Putri Irdina⁣⁣
⁣⁣
-----------------------------------------------------------⁣⁣
⁣⁣
Thank to all participants and our wonderful community, we hope to see you again next year.⁣⁣
For monetary prize winners, a committee member will be in touch with you shortly.",0
"يسر النادي العربي الثقافي بجامعة MMU دعوتكم لورشة مميزة وممتعة!

عنوان الورشة:
“Video Editing Made Easy with CapCut”
بإشراف: م. عمار نعمان

🗓 الموعد:
الأحد 11 مايو 2025

⏰ الوقت:
من 3:00 مساءً حتى 7:00 مساءً

📍 القاعة:
CLBR 1023

عن إيش راح نتعلم؟ 🔍
• لماذا نستخدم CapCut؟
• شرح الواجهة وإنشاء مشروع جديد
• استيراد الميديا والتعامل مع الـ Timeline
• أهم اختصارات الكيبورد
• إضافة التأثيرات والانتقالات
• تعديل الصوت والنصوص وCaptions
• أفضل إعدادات التصدير للسوشيال ميديا

🚀 الورشة مناسبة لجميع المستويات – سواء كنت مبتدئ أو مهتم بصناعة المحتوى!
لا تفوت الفرصة… تعال واكتسب مهارات المونتاج وصناعة الفيديو الإبداعي!

🎟️ التسجيل عبر QR code | الرسوم: RM10 فقط
المقاعد محدودة، سارع بالتسجيل!

⸻

ملاحظة:
يرجى من جميع المتدربين:
– تحميل تطبيق CapCut مسبقًا على أجهزتكم.
– إحضار بعض ملفات الميديا (صور/فيديوهات) إلى أجهزتكم للتجربة والتطبيق العملي خلال الورشة.

ننتظركم بكل حماس! 🔥

#CapCutWorkshop
#VideoEditing
#MobileEditing
#ContentCreation
#ReelsEditing
#SocialMediaReady
#LearnWithUs
#CreativeCommunity
#mmuevents",1
"Cast your votes here: https://linktr.ee/D.I.C.E

🕰️ Community Vote Deadline: 30th April 2025

Forge Me is a character design competition hosted by DICE. After many weeks, 6 artists have submitted their work to gain a chance at winning prizes. 

The judges have casted their vote, but now it's up to the community. We'd love to hear from you. 

Take a look at the competitors' characters and stories. The winner will win the title of Community Favorite!",1
"“That’s a wrap on ‘Think Rich, Play Smart’! “💡💰 

A big thank you to everyone who joined us on Jan 9, 2025, for an enriching session on wealth and financial literacy. From smart investment strategies to financial planning, we explored key insights to build a secure and prosperous future. 🌟 

Stay tuned for more empowering events!

#ThinkRichPlaySmart #FinancialLiteracy #WealthBuilding #LFPSolutionConsultancy”",0
".
يسر النادي العربي الثقافي في جامعة MMU عن محاضرة خفيفة لطيفة !

🎙️ عنوان المحاضرة:
""مقدمة عن الويب – كيف بدأ وكيف يشتغل؟""
وبيقدّمها لنا: عبد الرحمن العساف

📅 يوم الأحد - 27 أبريل
🕓 الساعة 4:30 العصر
📍 القاعة : FAIE - CLBR1023
🔍 عن ايش راح تتكلم المحاضرة ؟

• ايش هو الويب وليه مهم؟
• كيف تشتغل المواقع من ورا الكواليس؟
• كيف كان الويب زمان وكيف صار الحين؟
• مصطلحات واختصارات لازم كل مهتم يعرفها
• الأدوات اللي تبدأ فيها لو ودك تدخل المجال
• وأكيد، بنترك مساحة لأسئلتكم ونقاشاتكم
⁠
🚀 المحاضرة مناسبة لجميع المستويات، من المبتدئين وحتى المهتمين بالموضوع

لا تفوت الفرصة… وتعرف على العالم اللي ورا كل صفحة ويب تفتحها!
🎟️ الدخول مجاني والمقاعد محدود!

ننتظركم بكل حماس! 🔥",1
"🌱 Join Us for the Eco-Accounting Panel Talk! 🌱
Get ready to explore how sustainability is reshaping the accounting world with insights from industry professionals and experts from ACCA!

🎤 Don’t miss this golden opportunity to learn how ethical financial practices can drive long-term impact whether you’re an aspiring accountant or just curious about the future of finance.

📅 Date: 7 May 2025 (Wednesday)
🕒 Time: 1:45 PM – 4:00 PM
🏢 Location: FOE Classroom (CLCR 3045)
💸 Fee: RM5 (Refundable upon attendance)
🍱 Food is provided

✨ What you’ll gain:
✅ Real-world insights from expert panelists
✅ Knowledge on sustainability in finance
✅ Networking opportunities

Slots are limited, so make sure to secure your spot ASAP!",1
"第二十八届会员福利上线！
 
你以为一张会员卡只能收着？不，它能帮你省钱！

没错！只要你是2024/2025年度多媒体大学（赛城）华文学会会员，你手上的那张会员卡，现在正式变身成“隐藏版折扣神器”！

到指定店家消费时，只需—— 
1. 带着你自己 
2. 带着你的会员卡 
3. 带着想省钱的小心心 
出示会员卡，优惠立马送上！

从吃的喝的用的通通有，优惠不嫌多！ 
福利有效期限：14/4/2025 - 8/3/2026

还等什么？一张卡在手，好康全都有！ 
想知道更多店家详情？海报请你看上面！

如有任何疑问，请联系：
龚睛荔 011-60798623

Your CLSC Membership Just Got a Power-Up! 

Your card isn’t just for looks — it saves you money now!

Yes, you read that right! If you're a 2024/2025 member of the Chinese Language Society Multimedia University (Cyberjaya), your humble little membership card is now a discount weapon!

When you visit our partnered stores, just: 
1. Bring yourself 
2. Bring your card 
3. Bring that “let’s save some money” energy 
Flash your card and enjoy the perks like a pro!

Food, drinks, daily essentials — we’ve got it all! 
Benefit Validity: 14th April 2025 - 8th March 2026

So don’t leave your card gathering dust in your wallet. Use it, love it, and get rewarded! 
Curious about the deals? Check out the posters and stay tuned !

If any inquiries, please contact:
Keng Jing Li 011-60798623",0
"五一劳动节⚡向每一份辛勤付出致敬🫡

在这个属于劳动者的日子里，我们向每一位默默付出、坚持耕耘的你致以最真诚的敬意。 
愿所有努力都不被辜负，所有汗水终有收获。 
不管是奔波的脚步，还是选择休息的片刻，都值得被尊重与珍惜。

🎊多媒体大学（赛城）华文学会在此祝大家五一劳动节快乐，身心安康，所愿皆成。🎊

Labor Day⚡A Tribute to Every Hardworking Soul🫡

On this day dedicated to all who work with heart and hands, we salute your dedication, perseverance, and every silent effort made. 
May your hard work bear fruit, and may your journey be filled with meaning. 
Whether you‘re hustling or taking a well-deserved break today, you deserve respect, rest, and recognition.

🎊Wishing you a joyful and peaceful Labor Day from the Chinese Language Society Multimedia University (Cyberjaya).🎊",0
"🌿 Ready to grow your skills and make an impact?
Join the MMU Smart Farming Program (MUST) 2025 Committee and be part of an innovative team shaping the future of smart agriculture!

We’re recruiting for:
•	Hardware & Design Implementation
•	Software Development
•	Communications & Publicity
•	Secretarial Department

Why join?
✨ Real-world tech exposure
🛠️ Hands-on skills (hardware, software & IoT!)
🤝 Leadership & teamwork experience
🌐 Mentorship & industry networking
📁 Portfolio & career boost#
Deadline: 17 March 2025
Scan the QR code and join now!

Let’s build the future—together.
#engsocmmu",0
"ROARRR 🦖!! Step into the wilderness of Engineering Society where we nurture technology where the spirit of innovativeness roams free. 🦁

🦖 Unleash your creativity with us, as we thrive into the depths of creativity. 

Not only that we’re also glad to announce that during this CSRW we have 3D PRINTING SERVICE 🙌🏻

Meet us at 
📍 Central Lecture Complex
⭐️ 14th-15th April 2025

We hope to see you all there 🎉👨🏻‍💻 #engsocmmu",1
"《最让你后悔的事是什么？是否成了心中的遗憾？》🫂

🗓️日期：7/5/2025
⏰时间：7:30pm - 10:00pm
📍地点：CLBR 1023

🔗：https://forms.gle/JKpdR83Rsw4cXjseA

你是否曾有遗憾，久久无法释怀？🌱
后悔没说出口的那句话，
走错的学业道路，
还是未曾道别的那个人？

我们都有遗憾，但这些是否真的注定无法释怀？佛法告诉我们，忏悔不是否定过去，而是开启改变的钥匙。🪷

在这个特别的夜晚，欢迎你来分享或静静聆听，一起透过佛法中的忏悔与成长，走向更轻盈的自己。✨

#mmucyberjaya #buddhistsociety #dharmasharing",1
"And that’s how our CSRW WEEK went. Here’s a little sneak peak of the whole event. A huge thanks to everyone who supported us. 

It’s a wrap everyone ‼️‼️Big things are definitely coming 🤩Let us all make this a legendary year ❤️ 

#engsocmmu",0
"Ready to grow your skills and make an impact?
Join the MMU Smart Farming Program (MUST) 2025 Committee and be part of an innovative team shaping the future of smart agriculture!

We’re recruiting for:
•	Hardware & Design Implementation
•	Software Development
•	Communications & Publicity
•	Secretarial Department

Why join?
✨ Real-world tech exposure
🛠️ Hands-on skills (hardware, software & IoT!)
🤝 Leadership & teamwork experience
🌐 Mentorship & industry networking
📁 Portfolio & career boost#
Deadline: 17 March 2025
Scan the QR code and join now!

Let’s build the future—together.
#engsocmmu",0
"Good Day Fellow Friends!🤩

It's time to know about us!🫶🏻

#mmubuddhistsocietycyberjaya
#Buddhist",0
"🌿 Throwback to the MUST Smart Farm Installation @ SMK Seri Permaisuri!
We brought smart farming to life—installing IoT systems, working with Arduino, and running hands-on STEM workshops for students! ⚙️🌱 It was all about real tech, real teamwork, and real impact.

🚀 Wanna be part of something awesome? Join the MMU Smart Technology Team (MUST) and unlock:
✨ Real-world tech exposure
🛠️ Hands-on skills (hardware, software & IoT!)
🤝 Leadership & teamwork experience
🌐 Mentorship & industry networking
📁 Portfolio & career boost

Let’s build the future—together!
#engsocmmu",0
"Dharma 2：《From university to community: living the dhamma 🧘

This Dharma sharing session invites you to explore the transition from being a student practitioner to applying the Dhamma in the wider world.🧑‍🎓🕵️

Are you also wondering how we can apply and always use Buddhism in our lives?💭 Let's us finding the answer on this dharma talk ! ✨

We can share the inspiring stories together ! 😆From the first time we came into contact with Buddhism,🙌 to the memories of being active in the Buddhist society in university, 🎒and how to continue to let Buddhism accompany with our life journey after work.🖥️⌨️

🗓️Date: 30 April 2025
⏰Time：7:30pm-10:00pm
📍Venue: FOE CLBR 1023
💯Language: English and Mandarin (Both language)
🎤Speaker: Mr Dewei and Ms Bee Hui

🔗：https://forms.gle/61fg63E2zbG9kXLL9

All are welcome to join us!❤️🐾 See you there!😉

佛法分享会2：《从大学到社区：活出佛法》🧘

这场佛法分享会邀请您探索从学生修行者到 在更广阔的世界运用佛法的转变。🧑‍🎓🕵️

您是否也在思考，如何在生活中实践佛法？💭 让我们在这场佛法讲座中寻找答案吧！✨

我们可以一起分享这些鼓舞人心的故事！ 😆从第一次接触佛教，🙌到大学期间活跃于佛学会的回忆，🎒以及如何在工作后继续让佛教陪伴我们的人生旅程。🖥️⌨️

🗓️日期：30 April 2025
⏰时间：7:30pm-10:00pm
📍地点：FOE CLBR 1023
💯语言：英语和华语 (双语）
🎤讲师：Mr Dewei and Ms Bee Hui

🔗：https://forms.gle/61fg63E2zbG9kXLL9

欢迎大家加入我们！❤️🐾 到时候见！😉",1
"Ready to unlock the secrets of AI?
From its sci-fi beginnings to the tools shaping our future — this is your first step into the world of Artificial Intelligence!

Join us for an exciting session with Assoc. Prof. Dr. Tan Wooi Haw as we break down AI, Machine Learning, Deep Learning & all the buzzwords you’ve heard but never really understood.

Date: 9 May
Time: 3pm - 4pm
Platform: MS Teams

Swipe into the future — don’t miss it!
#AI #ArtificialIntelligence #MMU #IEEE #TechTalk #MachineLearning #deeplearningart",1
"🌸 こんにちは! 🌸

Want to take a break off your studies and hang out with your buddies?
The JCS has wonderful news for you!
Tomorrow, we are going to host movie night! 🎥 🎞

The details are as follows:

Movie 1:
The Secret World of Arrietty 🌿

Movie 2:
Suzume 💫

Venue: CNMX 1005
Date: 19th December 2024
Time: 7.00PM - 11.00PM

Make sure to invite your friends and don't forget to bring your popcorn! 🍿
See you there! 😉",1
"🌸🌸 みんなさん!!! 🌸🌸

Have you heard? The Japanese Culture Society will be holding our SGM (Semester Grand Meeting), a time where we gather all our members and socialize! Get to know everyone in the community and play games with us! Not only that, we will also announce our upcoming plans for the club. The details of the meeting are as below:

Date: 23/04/2025 (Wednesday)
Time: 8.00 - 10.30 pm
Venue: FCI Theatre (FCIV0001)

We hope to see you there! 😉

🌸 ありがとう! 🌸",1
"The moment is finally here!✨ We can't wait to gather everyone together for a night of laughter, connection, and unforgettable memories. Whether you're a familiar face or joining us for the first time, this is your official invitation to kick off the celebrations with us!

🕗Time: 8PM - 9PM
🗓️Date: 15 April 2025
📍Location: CLCR 3046

See you there! 🎉🔥",1
"✨You’re invited!✨ 

🎙️Join us for an exciting and engaging session featuring inspiring guest speakers who’ve turned their dreams into reality. Powered by IQI Global, we are turning this collaboration into an inspiring experience for all the innovators and dreamers for all MMU students!🔥

🎤Event Details🎤

Date 📅 : 30 April 2025
Time 🕰️ : 7:30-10pm 
Venue 📍: FOM Theater, MMU Cyberjaya 

To register: https://www.ticket2u.com.my/event/42892

Don’t miss out and we shall see you there!🤩

“Elevate your pitch, boost your reach!”🌟

#PitchPerfect #LifeAtIQI #MMU #TechGirls",1
"Empowered women🫵🏻 empower the world💫

Techgirls is celebrating strength, resilience, and the endless possibilities of women everywhere🌍 We wish you all Happy Women’s Day!💝",0
"Unlock the power of data analysis with Power BI! Join us for an engaging workshop this Thursday!

📅 Thursday, 12th Dec
⏰ 4:30 PM–8:30 PM
📍 FOE, CLBR1023, MMU Cyberjaya

🎟️ Fees: RM5 (members) | RM10 (non-members)
🎓 E-certificates and light refreshments provided!

Don't miss this opportunity to boost your analytics skills!",1
"こんにちは、みんな!

We'd like to inform all of you that the RSVPs for the Comic Fiesta shuttle bus is now CLOSED!

Those who have successfully registered will be added into a group for further information.

わかってくれて ありがとう~! 🙇🏻‍♀️",0
"みなさん、ようこそ！🎐

We would like to invite every one of our members to our JCS Annual Grand Meeting! We will be presenting our club's organizational list and discussing our future plans and events. 

➥ Details:
Date: 27 November 2024 (Wednesday)
Time: 8 — 10 PM
Location: CNMX1005

We'll be waiting for you there! Don't miss out this chance to dive into Japanese culture with our vibrant community~! ✨",1
"Unlock the world of coding with Python! 💻
Whether you're a beginner or just curious about programming, this course is your gateway to understanding the basics of Python in a fun and easy way! 🖥️✨

Join us for Python for Non-Programmers and dive into projects like Fortune Cookie, Lyric Analyzer, and Farming Data Analytics! 🌟

📅 Date: Wednesday, 23 April 2025
⏰ Time: 9 AM - 1 PM
📍 Location: MMU
💸 Price: RM25 (MMU) / RM50 (Non-MMU)

Don’t miss out! E-certificates provided! 🎓
👉 Scan the QR code on the poster to register!",1
"🚨 Attention Future Engineers!

You're invited to the Annual General Meeting (AGM) of the IEEE MMU Power & Energy Society Student Branch Chapter (PES SBC)!

📍 CLCR3045, Faculty of Artificial Intelligence and Engineering (FAIE)
🗓 02 May 2025 (Friday)
⏰  8:00 PM – 9:30 PM

This is your chance to:
🔹 Reflect on our achievements and activities
🔹 Register as a member of IEEE PES MMU
🔹 Nominate yourself for a leadership role and help drive the chapter forward!

🗳 Open Positions:

- Chair

- Vice Chair

- Secretary

- Treasurer

Whether you're ready to lead the team or just want to vote and support, your presence matters.

Scan the QR or click the link to register for voting or nominate yourself. 

Link: https://forms.gle/MKNwFinTnZFPxEcw6

Let’s shape the future of power and energy together!",1
"🔌✨ Ever wondered what’s Arduino is all about?
Whether you’re a total beginner or just curious, this is your gateway into the world of embedded electronics and creative coding! 💡🤖

🌟 What you’ll learn:
✅ What is Arduino
✅ Anatomy of an Arduino board
✅ Why it’s worth learning
✅ How to get started
✅ Fun project ideas to try

Start your Arduino journey today. It’s easier and much more fun than you think! 🚀

💬 If you found this helpful? Like & Share it with your friends!
🔔 Don’t forget to follow IEEE MMU SB for more hands on tech guides and scientific content every month! 

#arduino #stem #engineering #infographics",1
"✨ TechGirls AGM 2025: The Office Siren Soirée ✨

It’s time to pass the torch, spark new connections, and celebrate our community 🎊✨️🔦
Come dressed in your best office siren flair and get ready to mingle, celebrate, and maybe even win a prize or two 💼👠💋
Join us for a wonderful meeting, Let’s make this a night to remember!

🗓 Date: Thursday, 17th April 2025
🕕 Time: 6PM – 8PM
📍 Venue: FOE CLBR1023
💄Refreshments will be provided",1
"Get ready to kick off an unforgettable journey at MMU!
Mark your calendars for Welcoming Day — happening on 4th May, from 8 AM to 4 PM at CNMX1005.
Let’s make your first step the most memorable one!#MMUWelcomeDay #NewBeginnings #StudentLife #CampusVibes #MMUEvents #4thMay",1
"🚀 Calling all sponsors for Build with AI UPM 2025!
Be part of a movement that will help shape the AI leaders of tomorrow. 

💼 Choose from our sponsorship packages:
🥉 Bronze
🥈 Silver
💎 Diamond

🤩 Get Involved Today!
Secure your spot as a Build with AI UPM 2025 sponsor. For more information you can contact us in our Gmail:
📧 buildwithai.upm@gmail.com

#BuildWithAI2025 #GDGUPM #GDGMMU #AI #Google",0
