alt,caption,dimensionsHeight,dimensionsWidth,displayUrl,locationId,location Name,owner Full Name,owner Username,timestamp
"Photo shared by Arabian Culture Society - النادي العربي الثقافي on May 07, 2025 tagging @ammar_nouman. May be an image of screen, poster, magazine, newspaper and text.","✨ TechGirls AGM 2025: The Office Siren Soirée ✨

It’s time to pass the torch, spark new connections, and celebrate our community 🎊✨️🔦
Come dressed in your best office siren flair and get ready to mingle, celebrate, and maybe even win a prize or two 💼👠💋
Join us for a wonderful meeting, Let’s make this a night to remember!

🗓 Date: Thursday, 17th April 2025
🕕 Time: 6PM – 8PM
📍 Venue: FOE CLBR1023
💄Refreshments will be provided",1350,1080,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/495733843_18325845541204837_3770520796195310408_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QGp4qo0-yFZRtO6QxVFlcaWx7e5Vyv_kuXueQ0KL1FYVtJ6b8Ij4uLaV64sQaOT2ic&_nc_ohc=FURT3HNDNT8Q7kNvwEttY3T&_nc_gid=NCKs8bqllRmOMygYDXblTg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfLfiPkqyWZ1VD0KWhMo1FxLLoNdM_SULS-XHOO8fjvOWw&oe=682765B3&_nc_sid=10d13b,,,Arabian Culture Society - النادي العربي الثقافي,acsmmu,2025-05-07T07:05:21.000Z
"Photo shared by Google Developer Group On Campus UPM on May 11, 2025 tagging @gdg.mmu. May be an image of poster and text.","Empowered women🫵🏻 empower the world💫

Techgirls is celebrating strength, resilience, and the endless possibilities of women everywhere🌍 We wish you all Happy Women’s Day!💝",1350,1080,https://instagram.fgnd1-1.fna.fbcdn.net/v/t51.2885-15/496960397_18020938568651046_521616218275159783_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fgnd1-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QHSN-xkD9nim_I2xB1m_3O3BBe5B8zZtzscw0ZVoTFdkNZjtir9fbbGJs1R5SeAWXY&_nc_ohc=wvlOvUwP174Q7kNvwF8cWBc&_nc_gid=Tbbzd6qWOZrspkPEhyOmXg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfIAxCskGA0kxG6En1ikKwdt36SxbRbfPfThrBKmMY5MlQ&oe=68274D4B&_nc_sid=10d13b,,,Google Developer Group On Campus UPM,gdg.upm,2025-05-11T10:28:19.000Z
"Photo shared by Google Developer Group On Campus UPM on May 02, 2025 tagging @gdg.mmu. May be a cartoon of text that says 'Diamond Tier Partner with BWAI-UPM Sponsorship Opportunities is now open! Silver Tier Bronze Tier Got questions? Reach out to ous us EXTERNAL EXTERNALADVISER ADVISER Dhafa Warganegara +62 812- 1070 5388 HO.D EXTERNAL Aisyah binti Anuar +60 -6924- 6924 384 buildwithai.upm@gmail.com'.","okay but this lineup? LIT🔥🔥 They’re gonna eat the stage up and rock the night🤟🏻🤟🏻 You don’t wanna miss this. 
#kcccyber #kbam25 #mmucyberjaya",1350,1080,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/494359392_18019999826651046_6795879904792102059_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEpOKdjBKBbMPo3skO_38cKbn1x9UMTRvgr1cI8C79nZV4BK87Al_JMOOV25QZGAuQ&_nc_ohc=5N8HzstyCaYQ7kNvwHfiszx&_nc_gid=VnPpod4oqpubLc5V3AG3tQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJyoWlitKVQJLYLvNwk-7MotG9dy5UyXoYdg1ZG_7R9xg&oe=68277566&_nc_sid=10d13b,,,Google Developer Group On Campus UPM,gdg.upm,2025-05-02T08:26:06.000Z
"Photo shared by Google Developer Group On Campus UPM on May 03, 2025 tagging @gdg.mmu. Μπορεί να είναι γραφικό αφίσα και κείμενο.","Lights and vibes, something👀 is coming soon! A night of music and unforgettable performances awaits. Stay tuned !⭐️ #kbam25",1350,1080,https://instagram.fskg1-2.fna.fbcdn.net/v/t51.2885-15/495350152_18020197550651046_7177355375892026133_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fskg1-2.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QGZX_-AUBc92kK_PU8vm0_rW5V3LyyJPbCuhM-Fyf1rGhW24TESFVfGi9Xwcdef7pk&_nc_ohc=r5AO3A8pg9MQ7kNvwF49_6B&_nc_gid=UR6cOELB0XShEVqHzxtOpg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJy7AsB4muoddG8m7sxZh6DQhSOHeGksMZgYm629pgFcA&oe=68276756&_nc_sid=10d13b,497130,Universiti Putra Malaysia,Google Developer Group On Campus UPM,gdg.upm,2025-05-04T06:16:30.000Z
"Photo by Google Developer Groups on Campus MMU on May 10, 2025. May be an image of timer, radar and text.","📅 Kalendar Puasa: May 2025 | Zulkaedah 1447 H

Assalamualaikum semua! Berikut adalah tarikh-tarikh untuk melaksanakan ibadah puasa sunat sepanjang bulan Zulkaedah 🤗

🌼 Puasa Sunat Isnin: 7,21,28 May
🌼 Puasa Sunat Khamis: 3,10,17,24 May
🌼 Puasa Hari Putih: 12,13,14 May

Marilah kita memperbanyakkan berpuasa sunat dan semoga amal ibadah kita diterima oleh Allah SWT.🌿

#IUCyber #UpholdingTheFamilyHood #WeShareBecauseWeCare",1350,1080,https://instagram.fplu34-1.fna.fbcdn.net/v/t51.2885-15/496786092_18086193643721803_7313413242732880801_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fplu34-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QHHSCm2Nvg1Es4ARV2g-N5JasDQvycCd7KeXj7HMhofjOZ4TEC4fB_knVlkVAuJBO6sAj0hg3jsZt-oodjpKkbF&_nc_ohc=2M8EReHz2O4Q7kNvwGu72zF&_nc_gid=tawx-c4yIgTIw81PQlxk_g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJ6hvWJ6Ce-oO8RxwVFGMRzdWkBK0o_6P2z7AEX8tawvQ&oe=68275227&_nc_sid=10d13b,,,Google Developer Groups on Campus MMU,gdg.mmu,2025-05-10T12:15:46.000Z
"Photo by Arabian Culture Society - النادي العربي الثقافي in Multimedia University. May be a graphic of ‎1 person, magazine, poster and ‎text that says '‎""MMU IMERSIT MULTINEDIAUNIVERSITY TINEDIA MUL Basics Web انضم معنا عد لمقاعد محدودا يوم الأحد 27 أبريل مین "". الساعة 4 العصر التسجيل مجانّا يقدّمها لنا: عبدالرحمن العساف مقدمة عن الويب - -كيف بدأ وكيف يشتغل؟ قاعة التدريب CLBR1023 FAIE‎'‎‎.","Happy Labour Day!✨

Today, we honor the dignity of work and the hands that build our world. May Allah bless all workers with strength, fairness, and barakah.🤲

#WeShareBecauseWeCare 
#UpholdingTheFamilyHood 
#IUCyber
#labourday",1350,1080,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/491506050_18324309295204837_5226140211939970311_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QFHOMdzXZtsomuGQABiTq__WJ3IFoNgSBeU3JCr0K7i40O88fwbfHyQ14Hwf64c9thWpM6vleJQY7WtXePydHiG&_nc_ohc=GLoxOM4L1C8Q7kNvwGAxnyk&_nc_gid=TsPPAC_CMjFzW8r9KG-NBw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfL4piII5gG40pD7sBUHVoMnyJPJyDVeREObPsg-AF9-ig&oe=68276CE8&_nc_sid=10d13b,668389676,Multimedia University,Arabian Culture Society - النادي العربي الثقافي,acsmmu,2025-04-23T14:25:44.000Z
"Photo by TechGirls Club - MMU on April 10, 2025. May be a graphic of 1 person, magazine, poster and text that says ""MULTIMEDIA UNIVERSITY MMU TECHGIRIS APRIL IT'S HAPPENING! TECH GIRLS AGM YOU HAVE BEEN INVITED To OUR ANNUAL GRAND MEETING! DATE 17 APRIL 2025 ΤИMΕ: PM-8 PM VENUE: FOE CLBR1023 DRESS CODE: OFFICE SIREN SRAnN REFRESHMENTS. ARE PROVIDED. FREE FOR MEMBERS RM 5 FOR NON- NON-MEMBERS SIGN UP NOW SEE YOU THERE!"".","⚡🏸IU Badminton 🏸 ⚡

Assalamualaikum and greetings, everyone! Institusi Usrah is back with an exciting and energetic activity — IU Badminton! Take a well-deserved break from your studies and join us for a fun-filled badminton session. It’s the perfect way to relax, have fun and bond with others! 🤩

Program Details
Date: Saturday, 10 May
Location: FCM

Don’t forget to bring your friends along! We can’t wait to see you there! 😆

#WeShareBecauseWeCare 
#UpholdingTheFamilyHood 
#IUCyber",1080,1080,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/489921247_17963365454903724_9178630713965603810_n.webp?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QHno-mYVPKIDSUyTtTHEypq3ify6Yc75BBSgQ6egA9TK5By0Ou3Aasicch8E4sI0ZI&_nc_ohc=uLVH-ZafBNQQ7kNvwHV11Un&_nc_gid=rbx9o77mMVw8iWPZOv-YUQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfK5BWiQWEOEU92swv2YovEOwDQvxo2_2hZe76wTDTsrCQ&oe=68277089&_nc_sid=10d13b,,,TechGirls Club - MMU,techgirls_mmu,2025-04-11T06:14:08.000Z
"Photo shared by Arabian Culture Society - النادي العربي الثقافي on May 07, 2025 tagging @ammar_nouman. Pode ser uma imagem de ‎1 pessoa, pôster e ‎texto que diz ""‎ਨ TИ NoW D CapCut CapCut m CapC ㅠTTTE のつ止 ل LLL FWET ្នា o ..... C C.E نعمان عمار م يقدمها يقد مها ap( r‎""‎‎.","Sweet Treats & Cute Finds at Makey-Makey IU Booth!

Craving something cool? Try our Pudding IU:

- Tutti Frutti Pudding 🍓🍊
- Honeydew Dadih 🍈🍯

Only RM 1.90 each!

Take your Tutti Frutti today to color your day! 🌈✨

Also check out our adorable merch:

Capybara Keychain – RM 5 
IU Totebag – RM 15 (Members) | RM 20 (Non-members) 🛍️

Central Plaza | 11AM - 5PM 📍🕚

#WeShareBecauseWeCare 
#UpholdingTheFamilyHood 
#IUCyber",1350,1080,https://scontent-gru1-1.cdninstagram.com/v/t51.2885-15/495928267_18325845517204837_1716249941195077003_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-gru1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHWRCKFhrWbV2AF2RqQQtGtoXGVjSUv5ZaJvocxlfNiukz-elZebfCaduREq5z7bJ79PWuN0LPO8wJjtCzp5-Ts&_nc_ohc=cny66XI2Sn0Q7kNvwG506Er&_nc_gid=02jMWY7QATnpLR2xebmiuw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfKmM8DSIAolr6i7c4fSTbpUlHOqx3rIXZXOhd01-qhowQ&oe=68274F9B&_nc_sid=10d13b,,,Arabian Culture Society - النادي العربي الثقافي,acsmmu,2025-05-07T07:04:58.000Z
"Photo by Arabian Culture Society - النادي العربي الثقافي on April 23, 2025. May be a graphic of ‎calendar, magazine, timer, poster, pie and ‎text that says '‎Timeline الزمني الجدول 15 MINS INTRODUCTIONA ABOUT WEB الوبب عن مفدمه HOW WEB WORKS? 15 MINS الويب يعمر كيف 20 MINS سائف الويب V TRADITIONAL WEB APPS VS MODERN WEB APPS الحالي الويب 10 MINS ESSENTIAL TERMS AND SHORTCUTS مهمه واحنصارات مصطلحات 15 MINS STACKS AND FRAMEWORKS لمسارات كية ات الأدوات 15 MINS QUESTIONS& QUESTIONS&ANSWERS QUEST TIONS ه ANSW RS اجوبة اسألة‎'‎‎.","It’s official KBAM is happening!👩🏻‍🎤👨🏻‍🎤
Spend your night with us and vibing together! see you on May 8!! 🤟🏻 #kbam25",1350,1080,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/491587916_18324309262204837_4210048975519130137_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QG6E7T5LGlBUWUuk-nFgSPpOztxiohvZ8HJqGdzQhc5hon3T--hnN8-s240wL7JwV4&_nc_ohc=IN64pUVyii8Q7kNvwEmjIjZ&_nc_gid=5YdAvc4XzaWIKV2rQdopQg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfL0bmIfbGoCwIXeXJX-NyH2-k1Tr_5kx1Euu2r0Cnfp0w&oe=68274C5B&_nc_sid=10d13b,,,Arabian Culture Society - النادي العربي الثقافي,acsmmu,2025-04-23T14:25:20.000Z
"Photo by TechGirls Club - MMU on March 08, 2025. May be an image of one or more people, poster, magazine and text that says 'MMU WULTIMECIA.UNIVERS.TY MULTINECIAU NIV LTINECIA.UNIVERSITY NIVERSIT MMυ FEGHGIRLS Happy Nomen's Day TMGROUP TM GROUP'.","こんにちは、皆さん！

Hello everyone!

JCS is now recruiting for our next batch of High Committee members!
Looking to gain new experiences, meet amazing people, and bring Japanese culture to life on campus?
This is your chance to be part of the team!

Please scan the QR code above to register for an interview.

Application Information:
Date: 28 & 29 April 2025
Time: 7:00 PM – 10:00/11:00 PM
Venue: CLBR1023
Mode: Physical

We hope to see you guys soon 🌸",1080,1080,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/483045520_17959651862903724_4162764644754523391_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QHsFjbP1TxhLFoqZt-e-TdcqjbIcSXOfWOcEaatA-F49n9Mjf90RCWmpNM97-uHt2wt2pa3AjJGwrHgjpiGdqcl&_nc_ohc=oa2UdUDx1yQQ7kNvwErHkD_&_nc_gid=efUIxWMysMQFrxBD_FgBaA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfIt-3ZiOUTJac0ORPPH2OrBGzTOxGQ4I02LPokHg3O3iQ&oe=682763FB&_nc_sid=10d13b,,,TechGirls Club - MMU,techgirls_mmu,2025-03-08T09:01:06.000Z
"Photo by KOREAN CULTURE CLUB (KCC) on April 24, 2025. May be an image of poster, concert and text.","🌸🌸 みんなさん!!! 🌸🌸

Have you heard? The Japanese Culture Society will be holding our SGM (Semester Grand Meeting), a time where we gather all our members and socialize! Get to know everyone in the community and play games with us! Not only that, we will also announce our upcoming plans for the club. The details of the meeting are as below:

Date: 23/04/2025 (Wednesday)
Time: 8.00 - 10.30 pm
Venue: FCI Theatre (FCIV0001)

We hope to see you there! 😉

🌸 ありがとう! 🌸",1350,1080,https://instagram.fbkk30-1.fna.fbcdn.net/v/t51.2885-15/491504913_18503483626015156_8377336135200977931_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fbkk30-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QG-Wjd5Z5ypp9O8_Epm54wqwZWR_pFIghMms5bPQF8zfcQGLAmvbatHnLJKAT77e2A&_nc_ohc=Ing2M8h-3GAQ7kNvwF03_qL&_nc_gid=ZBZgj0ABRjsfpJjOW_C1Lg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfLLPgQFDV_xwSx7_-LHTVslgSQpKAANB6k2JYq7FUZ8oQ&oe=682755F9&_nc_sid=10d13b,,,KOREAN CULTURE CLUB (KCC),kcc_cyber,2025-04-25T05:46:04.000Z
"Photo by KOREAN CULTURE CLUB (KCC) on April 17, 2025. May be a graphic of magazine, poster and text.","💫Presenting Salam Circle 💫

A collaboration program between Marhaban Ahlan and Kalam Jannati is now making a comeback! 🥳

This program is designed to welcome new members to the Institusi Usrah Club while offering a fun and enjoyable sharing session! 😆

🗓 Date: 29 April & 6 May 2025 (Tuesday)
🕔 Time: 7:00 PM – 9:00 PM
🕌 Venue: Prayer Room HB2 (muslimin) & HB3 (muslimat)

Open to all MMU students! ✨
See you there!😉

#WeShareBecauseWeCare 
#UpholdingTheFamilyHood 
#IUCyber",1350,1080,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/491498972_18502140319015156_3850069097589783725_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFxwfc0hXA0Yv6X3IGbu8WvhucInPLm4hQSavNhFXCooFQpdH04pUoc6cxufv6-HZo&_nc_ohc=GsQucnYmiwYQ7kNvwEhwrzY&_nc_gid=BZa4yXlQfki6Vc9fTfxyEQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJoEp8ylZubjIQMYZSLTFqFaiuernq7gbxoK3vhMBeFhA&oe=68276637&_nc_sid=10d13b,,,KOREAN CULTURE CLUB (KCC),kcc_cyber,2025-04-17T10:38:59.000Z
"Photo by Institusi Usrah MMU Cyberjaya on April 30, 2025. May be an image of ‎calendar, poster and ‎text that says ""‎INSTITUSI USRAH PERSATUAN MAHASISWA ISLAM MON May zufcedah gulkacebdl/zutyyah /zuthuyjah 1446 2025 m TUE WED THU FRI SAT SUN 2 Puasa sunat sunat 3 4 6 5 Puasa sunat 7 8 Puasa 9 I0 12 sunat 3 14 س_ه Puasa putih 16 15 Puasa sunat 17 18 20 19 Puasa sunat 21 22 Puasa 23 24 26 Puasa 25 sunat 27 28 sunat 30 29 Puasa sunat 31 ١/١‎""‎‎.","🏆🎮 Game Jam Prize Pool 💰🔥

Ready to compete for first place? Here’s what’s up for grabs:

🥇 1st Place: RM1000 
🥈 2nd Place: RM800 
🥉 3rd Place: RM500

Sharpen your skills, bring your A-game, and show us what you've got! 💻✨",1080,1080,https://scontent-man2-1.cdninstagram.com/v/t51.29350-15/491468381_1176541777601180_5848412642704976899_n.heic?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QEyoHahCTF_C2e6Y8tkVLWAUYDHX4rRMHqOKGpfps_o2vq1RL0uDRqrHjUt099KqhQ&_nc_ohc=QbwmYFTMnNUQ7kNvwFtQ0Ep&_nc_gid=f6e8h86Xxmj3hMmI0zJ7vA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfLe8C5V0Ykq__55WmgfGXkikdE8lmUlUh_CI2jsZN7DPg&oe=6827703B&_nc_sid=10d13b,,,Institusi Usrah MMU Cyberjaya,iucyber,2025-04-30T07:15:10.000Z
"Photo by Institusi Usrah MMU Cyberjaya on April 30, 2025. May be an image of 3 people, poster, office and text that says '""OMMU MULTIMEDIAUNIVERSITY MULTIMEDIA UNIVERSITY INSTITUSI USRAH PERSATUAN MAHASISWA PERSATUANMAHASISWA.ISLAM ISLAM MAY LABOURDAY A'.","✨You’re invited!✨ 

🎙️Join us for an exciting and engaging session featuring inspiring guest speakers who’ve turned their dreams into reality. Powered by IQI Global, we are turning this collaboration into an inspiring experience for all the innovators and dreamers for all MMU students!🔥

🎤Event Details🎤

Date 📅 : 30 April 2025
Time 🕰️ : 7:30-10pm 
Venue 📍: FOM Theater, MMU Cyberjaya 

To register: https://www.ticket2u.com.my/event/42892

Don’t miss out and we shall see you there!🤩

“Elevate your pitch, boost your reach!”🌟

#PitchPerfect #LifeAtIQI #MMU #TechGirls",1080,1080,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/494640298_18497029852043627_1855856795153515500_n.webp?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QF2nZTdOhAbMofcesmAkFKojI4fr5NbEZIgXb51uCUFRr4IGjNWAHA6Cu-PI0ywoxI&_nc_ohc=yemAY_c_pF8Q7kNvwF2PJ5t&_nc_gid=NnZ4vduqUihiYBcoHYzo3g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfIFRz1MzKkKsLzZJMNW42AeWfSfa4ei8T5umdxcdhGfAw&oe=68276424&_nc_sid=10d13b,,,Institusi Usrah MMU Cyberjaya,iucyber,2025-05-01T04:30:11.000Z
"Photo by Institusi Usrah MMU Cyberjaya on May 09, 2025. May be an image of 1 person, racket, sports equipment and text that says 'INSTITUSI USRAH PERSATUAN PERSATUANMAHASISYAISLAM MAHASISWA SLAM OMMU MULTIMEDIA WULTIMEDIAUNIVERSITY UN NIVERSITY IU BADMINTON BADMINTON BADMINTON Every drop of weat today is an an investmen tomorrow's health. STARTING AT OBAM- -12PM (Saturday) Venue: FCM'.","🚀 GAME JAM ALERT! 🎮 
Wanna build a game in just 3 days? Grab your squad (or go solo), unleash your creativity, and let’s make something epic from scratch or free assets!

Scan the QR + sign up now! 💥 Any issues? Slide into our DMs — we got you! 💌 Let’s jam, devs! ⭐",1080,1080,https://instagram.fabe1-1.fna.fbcdn.net/v/t51.2885-15/496072099_18498482668043627_3101445413731383651_n.webp?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=instagram.fabe1-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGPwl1bETuJRyI2cV0FD6n4PYKd5j6idXZuhkDBiSXTBZ-_g2BTct82hEsMFe-56Pg&_nc_ohc=n1I07chbvz0Q7kNvwHNQjI1&_nc_gid=bjpxSLwm0OI8TfWREGFITg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJLEOfldy7cy8mDL4ZbXjRLalWJgqzjGZ927aiCwG_g8A&oe=682760FB&_nc_sid=10d13b,,,Institusi Usrah MMU Cyberjaya,iucyber,2025-05-09T08:13:12.000Z
"Photo by Institusi Usrah MMU Cyberjaya on May 06, 2025. May be an image of text that says 'DMMU MULTIMEDIA MULTIMEDIAUNIVERSITY UN NIVERSITY INSTITUSI USRAH PERSATUAN MAHASISWA PERSATUANNAASISWAISLAM GLAM MMAKEY-MAKEY ΥΜΑΚΕΥ IU MAKEY-M 7 May 2025/ Wed Pudding Tutti RM 1.90 Frutti Dadih Honeydew CENTRALPLAZ PLAZA CENTRAL 11AM-5PM 11AM eitLing filling Stu'.","🎮🎨MMU GDC Game Jam😎🕹️

If you have seen our post yesterday then the announcement we have for you is that we are organising a game jam😁

This exciting opportunity is open to any uni students, regardless of whether you are in MMU or not. So don't be afraid to join if you are interested 😉. 

Below are the details of the event:
Team: 1 - 4 people
Engine: Open to any engines
Fee: Free/None
Mode: Physical @ MMU Cyberjaya
Date: 23rd-25th May

More details will be revealed later. If you have any questions then you can DM us here or ask in the comments😊",1080,1080,https://instagram.fgru4-1.fna.fbcdn.net/v/t51.2885-15/495919073_18498088768043627_2813570726741687522_n.webp?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=instagram.fgru4-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QG9Pe6oBXAO6mgUkPxh19ym5aIasFt37pLNmkgWhzMDh4QfVBJF_r-fiOfGWm0pepTkFRkfV747DTaL3WU5G6TA&_nc_ohc=68zXzcO7AFUQ7kNvwE-9ZS0&_nc_gid=fVKXbZLHV2kYwSx7SP48ug&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfKzRJPpBAsxbjn-vFC031g90qvVylbgnKBY5x7ZHQIrJQ&oe=682756AD&_nc_sid=10d13b,,,Institusi Usrah MMU Cyberjaya,iucyber,2025-05-07T03:00:45.000Z
"Photo by KOREAN CULTURE CLUB (KCC) on April 17, 2025. May be a graphic of one or more people, bangs, poster, magazine and text that says 'MMU MULTIMEDIA DIAUNIYERSI UNIGERSIFY UMIVERSITY ORGANISED ORGANSEDBYKOREANCULTURECLUB BY KOREAN CULTURE CLUB 한국어학회 JAN KCC TIGKET PRICE CLUB MEMBER RM 5 RM MMUCOMMUNITY GENERAL GENERALPUBLIC PUBLIC 2025 aditthie 玻利轻事主 PERFORMANCE PERFORMANCE)BAND.PERFORIM BAND PERFORMANCE KPOPRANDOMPLAYDANCE! KPOP RANDOMPL AYDANCEI'.","🕹️💻Game Jam Registration📲🎮

If you have seen our recent posts and were wondering how to join, then here you are😊. After you scan the QR code, you will need to create a YouthOS account then you can fill up the information as usual📜

If you have any issues then please don't hesitate to DM us!",1350,1080,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/491493332_18502140409015156_8702585496283093742_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEy3HjMbupE61J2zuGLezDvEQC90Oi6oBoz_lLzMQ8LUQPP-hZrEdb8-ew0N6WEfB1PuC3-R_jKP1eUkobe4ToH&_nc_ohc=TXBPC-i5qrIQ7kNvwEoTL00&_nc_gid=Mi3uVW25L54iiwBvZtd4eQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJHobIBj9a_FA-OhixoVPM1TM3ZI0xsz1Cb-qXZqqYbTA&oe=682763F2&_nc_sid=10d13b,,,KOREAN CULTURE CLUB (KCC),kcc_cyber,2025-04-17T10:40:21.000Z
"Photo by Japanese Cultural Society MMU on April 26, 2025. May be a graphic of poster, magazine and text that says 'JCS H COM RECRUITMENT 28-29 28 29 APRIL 2025 08 P- 10 OPEN Positions Secretary Logistics APPLY NOW Treasury Photography Events Public PublicRelationsMultimedia PublicRelations Relations Multimedia'.","🎮📱 Game Jam FAQ 🕹️💻

Want to know more about the game jam? We’ve got you covered! 😊 Here are the answers to a few questions you might have!

Stuck or have more questions that weren't answered here? Slide into our DMs or drop a comment down below—we’re happy to help! 💬✨",1350,1080,https://scontent-lga3-1.cdninstagram.com/v/t51.29350-15/493890862_671388605627828_5914160007907441079_n.heic?stp=dst-jpg_e35_p1080x1080_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFTHTVWmPrZ4mznfHEd5KJ_SXuiDR9MBgZNC9fEAAm1rfb_FgxdX4Rkk81G2JlRSEo&_nc_ohc=izX7F6_6JwIQ7kNvwE61XhF&_nc_gid=5hHm89oAWQmkpbXfe_zG8Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfLynUgWxt4cfKDykspp97BnbMQfxXZ6xeEuiEWQfgK06Q&oe=68276279&_nc_sid=10d13b,,,Japanese Cultural Society MMU,jcsmmu,2025-04-27T03:49:34.000Z
